idx,saq1_1,saq1_2,saq2_1,saq2_2,saq3_1,saq3_2,saq4_1,saq4_2,saq5_1,saq5_2,saq6_1,saq6_2,saq7_1,saq7_2,saq8_1,saq8_2,saq9_1,saq9_2,saq10_1,saq10_2,saq11_1,saq11_2,saq12_1,saq12_2,saq13_1,saq13_2,saq14_1,saq14_2,saq15_1,saq15_2,saq16_1,saq16_2,saq17_1,saq17_2,saq18_1,saq18_2,saq19_1,saq19_2,saq20_1,saq20_2,saq21_1,saq21_2,saq22_1,saq22_2,saq23_1,saq23_2,saq24_1,saq24_2,saq25_1,saq25_2,saq26_1,saq26_2,saq27_1,saq27_2,saq28_1,saq28_2,saq29_1,saq29_2,saq30_1,saq30_2,saq31_1,saq31_2,saq32_1,saq32_2,saq33_1,saq33_2,saq34_1,saq34_2,saq35_1,saq35_2,saq36_1,saq36_2,saq37_1,saq37_2,saq38_1,saq38_2,saq39_1,saq39_2,saq40_1,saq40_2,saq41_1,saq41_2,saq42_1,saq42_2,saq43_1,saq43_2,saq44_1,saq44_2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8,vq9,vq10,vq11,vq12,vq13,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq14_6,bq14_7,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq16_6,bq16_7,bq16_8,bq16_9,bq16_10,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq18_10,bq19,bq20,bq20_1,bq21_1,bq21_2,bq21_3,bq21_4,bq22_1,bq22_2,bq22_3,bq22_4,bq22_5,bq22_6,bq23_1,bq23_2,bq23_3,bq24,bq25,bq26,bq26_1,bq27_1,bq27_2,bq28,bq29,bq30_1,bq30_2,bq30_3,knowcode
30540,3,5,3,4,3,4,2,4,3,5,3,4,2,4,4,4,3,5,4,5,3,5,3,5,4,5,2,4,2,4,3,5,2,5,2,4,4,4,2,3,3,5,3,4,3,5,2,5,3,5,2,3,3,5,3,5,5,5,4,4,3,4,4,4,5,4,5,4,5,5,5,4,3,3,2,4,4,5,2,4,3,5,5,5,5,5,2,5,4,4,3,4,4,3,4,3,3,4,4,4,4,1,1,3,1,비파괴검사기사, , ,2, , ,4,4,4,3,3,4,4,4,3,4,3,4,4,3,3,3,4,3,2,3,1,3,4,4,4,2,2,2,2,3,4,2,3,4,4,2,2,2,2,1,2,2,2,2,품질향상을 위한 새로운 기술도입,2,3,품질 안정성에 대한 요구가 높아짐으로 고용 증가 추측,1,1,1,1,4,5,7,4,7,8,3,4,6,1,36,4,기계공학,1,1,1,40,3700,3000, ,158501
30541,4,5,5,5,4,6,5,6,1, ,5,6,4,6,4,6,5,5,4,4,4,6,5,6,5,6,4,6,5,6,5,6,5,6,3,4,4,6,5,7,5,6,3,3,4,5,3,4,3,4,1, ,1, ,1, ,3,5,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,4,5,1, ,1, ,1, ,1, ,3,3,3,3,4,5,3,4,5,4,4,2,4,3,4,3,4,17,3,2,1,미술심리상담사, , ,2, , ,5,5,5,4,4,4,5,4,4,9,9,9,4,2,4,3,4,3,3,3,4,3,3,4,5,4,5,4,4,4,3,3,4,4,3,2,2,2,2,2,2,2,2,2, ,1,4,아동심리를 중요시하기 때문에 더욱 늘어날 것이다,2,2,2,2,8,6,4,3,3,4,7,4,4,2,42,4,심리학,1,3,1,42,3100,2300, ,306904
30542,5,6,4,5,1, ,3,2,2,2,3,3,3,2,2,2,5,7,3,3,3,3,2,2,5,7,1, ,1, ,1, ,1, ,1, ,3,4,3,2,5,7,1, ,1, ,1, ,4,4,1, ,2,1,3,3,4,5,5,7,2,1,3,3,4,6,4,6,5,6,5,7,1, ,5,7,4,6,4,6,4,5,4,5,5,6,4,5,4,3,3,3,4,2,3,5,2,3,4,4,3,15,2,6,1,항공정비사, , ,1,3,"정비 검사 교육 훈련,정비 훈련",3,4,3,3,3,3,4,2,3,2,3,4,3,3,3,2,3,4,4,5,3,4,4,3,4,5,4,3,2,3,5,4,3,4,4,2,2,2,2,2,2,2,2,2, ,1,4,항공 수요가 증가함에 편승하여 헬기도 소속의 증대로 인해 일반인도 구입하는등 헬기 수요 대폭 증가,2,2,2,1,7,8,4,8,3,1,2,7,9,1,45,4,전기제어공학,1,1,1,40,4000,2400, ,812102
30543,4,6,4,6,4,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,6,3,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,3,5,3,4,3,4,4,3,4,4,3,3,3,1,3,1,선반기능사,공작기계절삭가공사, ,2, , ,2,2,4,2,3,4,4,3,3,2,2,3,2,4,2,3,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,4,4,4,2,2,2,2,2,2,2,2,2, ,2,2,자동화 시스템 도입으로 직무대체 확률이 높을 것 같다,2,2,2,2,7,4,7,4,7,5,6,5,7,1,37,2,기계,1,1,1,50,3400,2400, ,813201
30544,2,3,4,4,1, ,1, ,1, ,4,5,1, ,4,4,1, ,1, ,1, ,1, ,1, ,3,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,4,5,3,4,2,2,2,2,3,4,5,6,5,5,3,4,2,2,2,2,5,6,4,5,4,5,2,2,1, ,1, ,4,5,1, ,3,3,4,3,3,2,3,3,4,3,2,3,3,13,1,3,1,산업위생기사, , ,2, , ,7,5,3,3,3,4,4,3,4,3,4,4,3,3,4,3,3,4,3,4,3,2,3,4,4,4,5,4,3,4,4,4,4,3,4,2,2,2,2,2,2,2,2,2, ,2,4,위생과 환경에 대한 관심이 증가하므로,3,3,3,2,1,1,1,1,1,8,8,7,7,1,38,4,안전공학,1,1,1,40,3400,2700, ,155501
30545,4,6,4,6,4,5,3,5,3,5,4,5,3,4,3,5,4,6,5,6,3,5,3,4,5,6,4,6,4,5,3,4,4,5,3,4,4,6,4,5,4,5,5,7,4,5,2,2,1, ,3,5,1, ,1, ,3,5,1, ,1, ,1, ,1, ,4,5,3,4,3,5,4,5,2,3,4,5,4,5,4,6,4,6,4,5,3,5,2,3,2,3,3,2,3,2,2,2,4,4,3,15,2,4,2, , , ,1,3,유격훈련,3,5,4,4,3,4,3,2,4,3,2,3,3,2,3,3,4,4,4,4,3,3,4,2,2,3,4,5,5,4,5,5,2,4,4,2,2,1,2,2,1,2,2,2,새로운 장비 도입,2,2,산업현장 자동화로 안정적 일자리 찾기때문,3,1,3,2,6,7,7,6,8,6,3,4,6,1,43,5,건축학,1,1,1,40,4000,2000, ,250201
30546,2,3,5,5,2,2,4,5,1, ,3,5,3,5,4,4,4,4,1, ,5,5,5,5,3,3,3,3,5,6,5,5,5,5,3,4,2,3,5,5,5,6,2,3,3,3,3,3,2,2,2,2,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,4,5,4,5,4,5,1, ,4,5,2,2,5,2,5,5,4,3,4,4,4,2,4,4,5,2,5,17,1,2,1,미술심리상담치료사, , ,2, , ,6,6,4,4,3,4,4,4,3,3,3,3,4,2,4,3,5,4,3,4,3,2,3,3,5,4,4,3,4,4,4,3,4,4,3,2,2,2,2,2,2,2,1,2,코로나로 업무가 많이 줄었다,1,4,심리 상담이 점점 일반화되어가고 더이상 기피하거나 숨기려 하지 않는다,2,2,2,1,5,5,4,4,4,5,6,6,5,2,29,4,상담심리학,1,1,1,40,3000,2000, ,306904
30547,4,5,3,4,4,4,3,4,4,5,4,4,5,6,2,2,1, ,3,4,3,4,3,4,2,2,3,3,3,3,5,6,4,5,1, ,2,2,1, ,2,3,1, ,1, ,2,2,2,2,5,6,5,5,5,6,5,6,5,6,4,6,5,6,5,6,5,6,4,6,5,6,5,6,3,4,2,2,1, ,5,6,1, ,4,5,1, ,5,4,4,3,3,3,4,3,3,5,4,3,4,9,1,2,1,양식조리기능사, , ,1,4,OJT,4,2,4,3,4,4,4,3,5,5,4,4,5,3,4,3,5,3,3,4,4,3,5,4,4,4,5,5,4,5,4,4,2,4,3,2,2,2,2,2,2,2,2,2, ,2,3,경제상황에 따라 달라질 것 이지만 수요가 꾸준히 유지되어 변화가 없을 것이다,3,3,3,2,5,4,4,4,4,5,3,3,5,1,38,3,조리학,2,5, ,40, , ,8000,531401
30548,3,5,4,4,3,4,4,4,1, ,3,4,4,5,1, ,3,4,3,3,4,3,3,4,5,6,1, ,4,5,1, ,4,5,1, ,2,3,4,5,3,3,4,4,4,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,2,1, ,1, ,1, ,1, ,1, ,1, ,4,5,3,4,4,4,1, ,3,3,3,4,4,5,4,3,2,3,4,3,4,4,3,4,4,3,4,17,1,1,1,정신과의사전문의, , ,1,6,의료협력교육,6,5,4,3,3,4,4,3,3,3,3,4,3,4,3,4,4,3,4,4,3,4,3,5,4,3,4,3,4,3,5,4,3,5,2,2,2,2,2,2,2,2,2,2, ,1,3,정신적인 문제는 늘 있기때문,2,2,3,2,7,4,5,6,4,7,7,3,6,1,50,4,의대 정신,2,5,1,40, , ,23000,301107
30549,4,4,2,3,3,3,2,2,3,4,3,4,3,4,3,4,4,5,2,2,2,3,2,3,3,4,3,4,2,3,2,2,2,3,2,3,3,4,3,3,3,4,4,5,4,5,2,3,3,4,3,4,3,5,4,5,5,6,4,6,3,6,4,5,4,5,5,6,4,7,4,6,4,6,4,5,2,3,4,5,3,1,1, ,4,5,4,5,4,3,4,3,4,4,4,4,3,4,4,4,3,13,1,4,1,정보관리기술사,정보처리기사, ,1,2,시스템 프로그래밍 언어와 조직화,7,5,4,4,4,4,3,4,4,3,2,3,3,3,3,3,4,3,4,3,2,4,3,2,4,3,4,4,3,3,2,3,4,3,3,2,1,2,1,2,2,2,2,2,새로운 OS와 소프트웨어의 변동,2,4,인터넷 기반의 사업들이 대다수,3,3,3,1,7,5,3,4,3,7,3,4,5,1,36,4,경영정보시스템,1,1,1,47,5900,4500, ,132002
30550,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,4,4,4,5,1, ,1, ,4,5,1, ,4,5,1, ,1, ,1, ,1, ,1, ,1, ,4,4,3,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,4,5,4,4,4,5,3,4,3,3,3,3,3,3,3,2,3,1,3,3,3,2,3,2,2,19,3,2,1,심판자격증, , ,2, , ,7,2,3,3,3,3,5,5,3,5,5,5,5,2,2,2,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,5,4,2,2,2,2,2,2,2,2,2, ,2,2,도장과 관원의축소로 축소될 것으로 보인다,3,2,3,1,7,8,7,4,4,4,8,3,4,1,45,4,태권도학,1,1,1,40,3000,1200, ,420301
30551,2,3,2,3,3,3,2,3,3,5,3,5,3,5,3,4,3,4,4,5,4,6,4,5,4,5,2,3,3,4,3,4,2,3,2,3,3,5,1, ,2,5,4,5,4,6,3,5,3,4,1, ,4,3,2,4,3,2,3,5,3,1,1, ,1, ,2,4,2,5,1, ,3,5,3,4,4,5,3,5,5,3,3,5,4,6,3,5,5,3,5,2,4,2,2,4,2,3,3,2,4,18,1,1,2, , , ,2, , ,5,5,3,4,3,5,5,5,4,3,4,4,4,3,4,3,3,3,2,3,4,3,4,1,4,4,4,4,5,4,3,4,3,4,3,2,2,2,2,2,2,2,2,2, ,1,3,꾸준하게 그림을 즐기는 마니아층이 계속 있을 것,1,3,3,2,3,3,4,4,3,5,8,6,3,2,48,5,동양회화,1,1,1,40,4600,2700, ,414101
30552,2,3,2,3,3,3,4,4,5,4,3,3,1, ,3,3,4,3,1, ,1, ,3,3,4,3,3,4,2,3,4,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,5,4,4,3,4,3,3,3,1, ,1, ,1, ,5,5,4,4,4,3,1, ,3,3,1, ,3,3,3,3,3,4,1, ,1, ,1, ,5,4,3,3,1,2,3,3,3,3,3,4,4,3,3,3,3,11,1,2,2, , , ,1,2,창구 실무교육,3,2,3,4,3,4,4,3,4,4,4,4,4,2,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2, ,2,2,금융권의 경기침체로 인한 고용감소 증가,3,3,3,2,7,7,6,7,6,4,5,4,4,2,40,4,경제학,1,1,1,42,4560,3000, ,32401
30553,3,4,4,5,4,5,3,4,2,3,2,3,3,3,3,4,3,3,3,4,3,4,4,5,3,4,3,4,3,4,3,4,2,3,3,4,3,4,2,3,2,3,4,4,3,4,4,5,3,4,3,4,4,5,4,5,4,5,4,5,3,3,3,4,3,4,4,5,4,5,4,5,3,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,2,2,3,3,3,3,3,4,19,1,2,1,농기계정비기능사, , ,2, , ,2,2,3,2,2,4,4,3,4,9,9,9,4,2,4,4,3,3,4,4,4,4,4,2,4,3,3,2,4,3,4,3,3,4,4,2,2,2,2,2,2,2,2,2, ,2,2,농촌 인구 감소,3,3,3,2,6,5,7,4,5,5,6,4,5,1,57,2,기계,2,5,1,53, , ,5500,811901
30554,2,2,2,3,2,2,2,2,3,4,2,3,2,2,3,4,2,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,2,2,2,3,3,2,2,3,3,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,2,2,2,3,3,4,3,3,3,4,2,2,2,2,2,3,3,3,2,3,2,3,2,3,2,2,4,4,3,4,2,3,3,2,2,3,3,2,2,7,1,1,2, , , ,2, , ,1,2,2,3,4,5,4,4,3,9,9,3,3,4,3,3,3,4,4,2,3,4,3,4,4,4,4,3,4,4,3,3,3,4,3,2,2,2,2,2,2,2,2,2, ,2,2,기계화 자동화 증가로 인하여,2,2,2,2,5,6,5,4,3,4,5,6,4,1,50,2,인문계,2,5,1,40, , ,4000,873201
30555,4,6,4,6,4,5,2,4,2,5,4,5,2,4,3,4,3,4,2,4,2,4,3,5,3,4,2,3,3,4,3,4,3,4,3,4,2,4,2,4,3,5,3,4,3,4,2,3,2,3,2,3,2,3,1, ,1, ,1, ,2,3,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,3,3,3,3,3,3,4,4,2,3,4,4,4,4,13,1,2,1,세무사,회계사, ,1,1,세법/납세신고서 작성법,6,5,3,4,4,3,3,4,3,3,3,3,3,2,4,3,3,2,2,4,2,3,3,3,3,3,3,3,3,3,4,3,3,3,4,2,1,2,2,2,1,2,2,2,소프트웨어 추가,2,2,경기 침체 장기화,3,3,2,2,7,7,6,7,6,7,5,5,5,1,53,3,내국세,2,5,1,45, , ,10000,23201
30556,3,5,3,5,3,5,2,3,5,6,5,7,5,6,4,6,3,5,3,5,4,6,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,3,4,3,4,1, ,1, ,1, ,1, ,5,7,5,6,4,6,4,6,1, ,4,6,4,6,4,6,4,6,4,6,1, ,1, ,1, ,1, ,1, ,1, ,2,3,1, ,5,5,5,4,4,3,3,4,2,4,4,4,3,15,2,5,1,방사선동이원소취급자일반면허, , ,1,2,특정분석관련,7,5,4,3,3,4,5,4,3,3,3,3,3,2,4,4,5,3,3,4,4,3,4,3,4,4,5,4,3,4,5,3,1,4,3,2,2,2,2,2,2,2,2,2, ,1,4,탈원전때문에 폐기물 관리에 필요한 인력 증원이 일어날 것 같아서,1,1,1,1,7,4,4,3,3,3,6,7,7,1,29,4,원자력공학,1,1,1,40,4000,4000, ,155106
30557,4,5,5,5,4,5,4,5,4,6,4,6,4,5,4,6,4,5,3,4,4,4,3,5,4,5,3,6,4,5,4,6,4,5,4,6,4,4,4,5,4,6,4,5,4,6,4,6,4,5,4,6,4,6,4,5,4,5,4,6,4,6,4,6,3,4,4,5,4,5,4,5,4,5,4,6,4,5,4,6,4,6,4,5,4,5,4,5,4,4,3,4,4,3,4,4,3,4,4,4,4,19,1,2,2, , , ,2, , ,2,2,4,5,4,4,4,4,3,3,4,3,3,3,4,4,2,3,4,4,3,3,4,4,4,4,4,3,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2, ,1,2,결혼식장 이외의 장소에서 혼례종사자 수요 감소,2,2,2,1,5,3,6,4,5,7,7,8,6,2,46,2,인문계,1,1,1,36,2000,1600, ,512201
30558,5,6,4,4,5,6,3,4,1, ,3,4,3,4,3,4,4,6,3,3,3,3,4,5,5,6,1, ,2,3,2,2,1, ,1, ,1, ,1, ,4,5,2,2,2,2,2,1,1, ,1, ,1, ,1, ,1, ,1, ,3,3,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,4,6,2,2,5,4,3,3,4,2,3,5,3,4,4,3,5,13,1,2,2, , , ,1,4,컴퓨터 응용 능력,5,5,3,2,2,4,3,3,2,3,3,3,3,4,3,3,4,3,4,3,4,5,4,3,4,4,3,3,4,4,5,4,4,4,5,1,1,2,1,2,2,2,2,2,인터넷으로 보는 책,3,4,인공지능의 비약적인 발전,2,3,2,2,3,5,4,2,2,1,8,8,7,1,50,4,영문학,1,3,2,40,5000,1200, ,411201
30559,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,3,4,3,3,2,2,1, ,2,2,2,2,2,2,1, ,1, ,3,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,1, ,1, ,1, ,1, ,2,2,2,2,1, ,1, ,1, ,2,3,2,3,2,3,4,4,3,4,4,3,4,4,3,3,4,3,4,3,1,2,1,섬유디자인산업기사, , ,1,3,"의류 재단,제작",4,5,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,2,2,2,2,2,2,2,2,2, ,2,3,변화 없다,3,3,3,2,6,5,6,5,5,6,4,5,6,2,36,4,패션디자인학,1,1,1,40,3400,2500, ,415201
30560,2,4,2,4,1, ,2,4,3,4,4,4,2,4,3,5,3,4,2,5,3,4,2,5,4,4,4,5,4,5,3,5,3,5,4,5,2,4,4,5,3,5,5,6,5,5,5,6,5,5,1, ,4,5,5,5,4,5,5,6,1, ,4,5,4,5,4,6,5,6,5,6,1, ,4,5,4,6,3,5,5,6,2,5,3,5,3,5,5,3,5,4,3,1,5,2,3,3,3,3,5,3,4,1,2, , , ,2, , ,7,1,4,4,3,3,2,3,4,9,9,9,4,4,2,2,4,3,3,3,4,2,3,4,5,3,3,4,2,3,5,4,3,5,3,2,2,2,2,2,2,2,2,2, ,1,2,"제조업체들이 대부분 영세하다 보니 비싼 임금, 재료 가격 상승 등으로 인해서 매우 어렵기 때문에",3,2,2,2,8,8,8,7,8,7,3,3,3,1,54,2,인문계,2,6,1,48, , ,3000,883101
30561,3,3,3,3,2,3,2,3,2,2,1, ,2,3,5,5,3,4,2,4,1, ,3,4,4,4,1, ,2,3,2,2,3,4,1, ,4,4,2,2,4,5,3,4,1, ,1, ,2,3,2,3,1, ,1, ,5,5,4,5,1, ,2,2,5,4,5,4,4,5,4,5,2,3,4,4,5,5,4,5,4,5,4,4,3,4,2,4,2,1,2,2,2,1,4,2,1,2,2,3,4,3,1,2,2, , , ,2, , ,2,2,3,2,2,3,2,2,2,2,2,4,2,3,3,1,3,3,4,5,3,4,2,2,3,4,3,3,3,4,5,4,4,3,4,2,2,2,2,2,2,2,2,2, ,2,2,생산시설이 점점 기계화가 되어가고 있어서,3,3,3,2,7,7,7,5,6,5,7,6,6,1,49,2,기계,1,1,1,48,3800,2300, ,861201
30562,2,2,3,4,1, ,3,5,1, ,3,4,4,5,3,5,4,5,1, ,3,4,4,5,2,4,3,4,2,3,3,4,2,3,1, ,2,3,3,4,3,3,4,5,4,5,1, ,3,4,3,5,3,4,2,3,2,3,1, ,1, ,4,5,3,4,3,4,1, ,2,2,2,3,4,5,3,4,4,5,3,4,2,2,3,2,2,3,3,4,3,2,3,2,2,4,3,3,2,2,3,7,4,2,2, , , ,2, , ,2,1,2,3,3,4,4,3,3,2,3,4,3,3,2,2,4,3,3,3,4,2,4,2,5,3,4,3,2,4,4,4,3,4,3,2,2,2,2,2,2,2,2,2, ,1,4,갈수록 커피소비량은 늘어갈것이라서,3,2,2,1,5,6,7,6,7,8,8,7,2,1,38,3,사회학,1,4,1,42,3000,2200, ,531701
30563,3,3,4,5,3,3,1, ,1, ,1, ,1, ,1, ,3,3,1, ,1, ,3,4,3,4,4,5,3,3,3,4,1, ,1, ,4,5,4,5,4,5,3,4,3,4,1, ,3,4,3,3,1, ,1, ,1, ,1, ,1, ,4,5,3,4,3,4,1, ,1, ,1, ,4,5,3,4,3,3,4,5,3,4,3,3,3,3,2,2,2,3,4,3,2,4,2,2,3,2,3,9,1,3,1,조리기능사, , ,2, , ,6,2,3,4,4,3,4,4,3,4,3,4,3,3,4,4,3,3,4,4,3,4,3,4,3,3,4,3,3,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2, ,2,2,자격취득자가 많아져서,2,2,3,1,7,7,7,6,4,4,3,6,7,1,48,2,전기,1,1,1,52,3600,2000, ,531101
30564,5,5,5,5,4,6,5,5,4,5,4,5,4,5,4,5,4,4,4,5,4,5,4,5,4,4,4,4,5,5,4,5,4,5,4,5,3,4,4,6,4,5,4,4,4,3,3,3,4,4,4,5,3,4,2,2,3,4,1, ,4,5,1, ,3,4,2,2,3,3,3,3,4,4,1, ,2,2,1, ,3,4,1, ,3,3,4,4,4,5,2,3,4,4,2,4,4,4,4,4,4,15,2,6,1,사회복지사,직업상담사, ,1,2,"취업동향, 4차 산업혁명 시대 신 중년의 일자리 동향 준비(대비)를 위한 일자리 담당자의 역할",6,5,4,2,2,4,4,2,3,3,4,5,4,2,4,3,5,5,3,4,1,5,2,2,4,4,4,3,3,4,4,4,4,4,5,1,1,1,1,2,1,2,2,2,"전산시스템 구축, 협엽틀 도입, 온라인, 오프라인 강의 병행-영상강의 등록, 활용, 변화하는 사회 현상에 대응하는 일자리 발굴(키오스크 강사 양성 등)",2,2,"AI로 직무분석, 욕구, 흥미 적성 파악이 가능해 지면 매칭까지 AI가 가능해 질 것임 but 노인이라는 특성으로 사람이 대면 지원해야 하는 업무는 잔류할 것으로 예상함",1,1,3,1,2,2,7,8,2,2,3,3,7,2,50,5,사회복지학,1,3,2,40,4000,4000, ,231401
30565,2,4,4,5,2,3,3,4,1, ,3,5,4,6,3,4,3,5,2,3,3,4,3,5,3,4,3,4,5,5,2,2,3,5,3,5,2,4,4,5,3,5,3,3,5,4,3,5,3,5,3,5,3,5,3,5,3,5,2,4,1, ,1, ,2,4,3,4,2,2,2,3,3,4,5,3,3,4,2,3,3,4,3,5,4,5,2,3,4,3,3,3,3,2,4,4,4,4,4,3,4,19,1,1,1,피무관리사 자격증, , ,1,1,고객 상담과 응대법 교육,3,2,3,3,3,5,4,4,3,9,9,3,3,2,4,4,4,4,2,4,1,4,2,3,5,3,4,4,4,5,5,4,4,4,5,2,2,1,2,2,2,2,2,2,맛사지를 위한 새로운 기계나 화장품등이 많고 다양해져 선택의 폭이 넓어졌다,1,3,생활 소득 및 수준 향상으로 외모에 대한 관심은 높아서 일자리 변하는 없을 것 같음,2,2,2,2,7,5,4,3,3,4,7,3,4,2,48,3,피부미용학,2,5,1,52, , ,3000,511301
30566,2,3,2,3,2,3,2,2,2,1,3,4,1, ,4,4,3,3,3,4,3,3,3,4,4,5,3,4,3,4,4,5,2,3,2,1,3,4,4,5,3,5,4,5,2,1,3,4,3,4,3,4,4,5,4,6,4,6,4,6,3,4,3,5,4,5,4,6,4,6,4,6,4,5,3,4,4,5,4,6,4,6,2,4,3,5,4,5,3,3,3,4,4,2,3,3,3,2,3,4,3,6,1,2,1,크레인운전기능사,기중기운전기능사, ,2, , ,6,3,3,3,4,5,5,5,3,4,4,3,3,3,3,3,3,3,3,4,3,2,3,4,3,3,3,3,4,3,3,2,2,4,4,2,2,2,2,2,2,2,2,2, ,2,2,건설 경기 불황,3,3,3,2,5,6,5,6,5,4,4,4,5,1,44,4,자동차학,1,1,1,30,4600,3200, ,623001
30567,2,1,3,2,2,2,3,4,2,1,2,1,3,3,2,1,3,3,2,2,2,1,2,2,3,4,2,3,2,3,3,4,2,2,2,1,3,1,4,4,3,2,2,1,2,3,3,2,3,3,2,1,4,4,2,3,3,4,1, ,1, ,2,3,1, ,1, ,1, ,1, ,1, ,2,2,3,1,2,2,3,2,2,1,3,3,2,3,4,4,1,4,4,2,4,4,3,2,4,2,3,9,4,2,1,일식조리사, , ,2, , ,3,2,2,4,4,5,4,3,4,3,3,4,4,4,3,4,4,4,3,2,1,2,3,2,4,4,3,2,2,2,4,2,1,5,5,2,2,2,2,2,2,2,2,2, ,1,4,외식증가,3,3,3,2,9,8,9,2,5,6,3,8,7,1,60,2,문과,2,6,1,40, , ,4700,531501
30568,3,3,3,4,1, ,3,4,5,6,5,6,5,7,4,5,4,5,4,6,4,5,3,4,4,5,3,4,1, ,1, ,1, ,1, ,3,3,2,3,3,4,2,3,1, ,1, ,1, ,1, ,5,6,5,7,4,6,4,6,4,5,3,4,4,5,4,5,4,5,4,6,4,5,3,4,2,3,4,5,2,2,1, ,5,6,1, ,5,4,5,4,4,3,4,4,3,5,3,3,3,13,1,1,2, , , ,2, , ,7,5,4,5,5,3,4,3,3,4,4,4,4,3,4,4,4,4,4,5,4,4,5,3,4,5,4,4,4,5,4,4,4,5,3,2,2,2,2,2,2,2,2,2, ,1,3,변화 없을것이다,3,3,3,2,3,2,3,2,3,2,9,8,8,2,30,4,영상디자인,1,1,1,40,3300,3100, ,159103
30569,5,5,5,5,4,4,5,6,4,4,4,5,2,2,3,4,4,5,4,5,5,5,4,4,5,6,4,4,4,4,4,5,4,5,1, ,4,5,5,6,5,5,4,4,3,3,3,4,4,5,3,4,5,6,1, ,5,6,3,4,4,5,5,6,5,7,4,5,5,6,5,6,4,6,2,2,5,6,4,5,2,2,3,3,5,5,4,4,4,3,2,3,5,3,4,1,3,4,5,4,1,17,1,4,1,임상병리사, , ,2, , ,2,4,4,4,5,4,5,2,3,3,4,4,4,2,4,4,3,4,3,3,2,4,4,4,3,4,4,4,3,3,4,3,3,5,4,2,2,1,2,2,2,2,2,2,업무에 필요한 장비 도입,2,2,자동화 시스템,2,2,3,2,7,5,3,7,6,5,7,5,4,2,45,3,임상병리학,1,1,1,40,3300,2500, ,306101
30570,2,2,2,3,2,3,2,3,1, ,2,3,1, ,1, ,2,2,2,4,1, ,1, ,2,3,1, ,1, ,2,3,1, ,1, ,2,3,1, ,1, ,2,3,1, ,1, ,2,2,2,3,1, ,1, ,2,2,1, ,1, ,2,2,1, ,1, ,1, ,1, ,1, ,1, ,2,3,2,2,2,3,2,3,2,3,1, ,2,2,3,3,3,2,2,2,2,2,3,2,3,6,1,2,2, , , ,2, , ,6,3,2,1,1,3,3,2,3,3,3,3,3,4,2,2,4,4,4,3,2,3,3,3,4,2,2,2,2,2,4,2,2,3,3,2,2,2,2,2,2,2,2,2, ,1,2,"인건비가 싼 수입인력(중국, 베트남 )을 쓸것이다",3,3,3,2,5,5,5,6,7,6,5,5,5,1,62,2,이과,1,3,1,52,4000,2000, ,701701
